PAC,long,lat
NODE#445009907,-43.16101420034505,-19.831349097482814
NODE#445009936,-43.16111023534904,-19.82496164826142
NODE#445010087,-43.16167619939705,-19.824714568522495
NODE#433470944,-43.16431569970973,-19.811072675963203
NODE#445011910,-43.15469686406897,-19.817318016113518
NODE#424312252,-43.14052631583678,-19.821729506411543
NODE#444896297,-43.18332387839422,-19.80787960246164
NODE#433474827,-43.13735137896293,-19.820612556524225
NODE#433470954,-43.16349566099592,-19.809233074946405
NODE#2316029042,-43.17058998993605,-19.809012903822406
NODE#442497727,-43.161036829086356,-19.822592125326253
NODE#910289390,-43.17324127946142,-19.808329601629794
NODE#537937055,-43.176155695329044,-19.807381722488458
NODE#442497436,-43.16896566053674,-19.834841805305018
NODE#424246504,-43.159099353952,-19.82110578430445
NODE#433474378,-43.13696235203088,-19.82324609343243
NODE#445011492,-43.156936981756246,-19.82684035629734
NODE#444955674,-43.171090539996385,-19.81789880638479
NODE#424244987,-43.17245429532943,-19.808683019006082
NODE#442498007,-43.16699748164842,-19.833547402990234
NODE#442498126,-43.16447935024178,-19.829988129148774
100#1083522253,-43.16263882112463,-19.812130404594427
100#351815933,-43.159238810023,-19.82188573573808
NODE#424244008,-43.19222325999539,-19.808385372187104
100#1087223788,-43.169476365741616,-19.834854528014034
NODE#2015114201,-43.1593062277002,-19.831776217898096
NODE#445055936,-43.1387145893068,-19.82127492339896
NODE#434600298,-43.149520905965005,-19.818560809933388
NODE#433474578,-43.13865948424774,-19.821938459392356
NODE#439762341,-43.18543816024288,-19.80921786111537
NODE#433298383,-43.17076981207714,-19.817362404851053
NODE#442497697,-43.16168474925172,-19.823797908446693
NODE#445056000,-43.1486098504642,-19.818395032504725
NODE#433473273,-43.151900827760926,-19.82151189385877
NODE#445010892,-43.15877916652528,-19.83084783605875
NODE#434600388,-43.16261410595621,-19.813756961614445
NODE#424311628,-43.151360240782424,-19.816062612899202
NODE#424246848,-43.143652625468235,-19.823959431182743
NODE#424245660,-43.17033692071226,-19.80894798176388
NODE#442498041,-43.163288039911095,-19.827347671957455
NODE#445012565,-43.144549897060074,-19.826548574856815
NODE#424246894,-43.14252147258787,-19.819157649505883
NODE#728593131,-43.159353794641845,-19.83835429371561
NODE#442900141,-43.17390663838063,-19.821104811238
NODE#433472613,-43.163671870560336,-19.812170809335328
NODE#445011001,-43.156551458582896,-19.81403750512669
NODE#444955993,-43.16787973546138,-19.816023007655645
NODE#424246743,-43.14217084490855,-19.819081901408595
NODE#433471604,-43.163501720627835,-19.81570697060016
NODE#433297388,-43.16856904422599,-19.836885244858138
NODE#439761860,-43.18393083084311,-19.80847162526527
NODE#439761726,-43.18281203284897,-19.808298987807973
NODE#444955503,-43.17051851721578,-19.817865991921963
NODE#434807180,-43.164392692468766,-19.815482048357808
NODE#433472932,-43.15220930691396,-19.81867565066068
NODE#445010806,-43.158137651331515,-19.81312666186591
NODE#1981522672,-43.153628130433844,-19.82386750068457
NODE#424246853,-43.14309565643936,-19.8241139490994
NODE#433474483,-43.13660635719759,-19.82303938515946
NODE#434807046,-43.1699281032993,-19.815809538279495
NODE#424244708,-43.17503718871524,-19.80757915425454
NODE#445011426,-43.15504875709445,-19.818255660969953
NODE#433473497,-43.15110596286985,-19.819825062476582
NODE#444956694,-43.170006897400356,-19.81666894301725
NODE#434807521,-43.16561872472431,-19.814706281469682
NODE#433298744,-43.16670429546684,-19.834789270508395
NODE#434600402,-43.16276106417172,-19.81350415679134
